Solution,set1,set2,set3
1,0.312339,0.6878,0.312339
2,0.796852,0.203102,0.796852
3,0.509677,0.878878,0.6878
4,0.285494,0.881143,0.203102
5,0.461721,0.562364,0.509677
6,0.507623,0.704282,0.285494
7,0.488759,0.318161,0.878878
8,0.394769,0.206864,0.881143
9,0.370533,0.551986,0.461721
10,0.92488,0.0144554,0.562364
11,0.412719,0.586882,0.412719
12,0.993108,0.00716503,0.993108
13,0.714131,0.360551,0.586882
14,0.521306,0.120248,0.00716503
15,0.438718,0.458438,0.714131
16,0.270608,0.0177434,0.521306
17,0.443458,0.513027,0.360551
18,0.11033,0.603682,0.120248
19,0.868641,0.628823,0.438718
20,0.996965,0.0790545,0.458438
21,0.772235,0.226868,0.772235
22,0.0597843,0.939317,0.0597843
23,0.476578,0.41983,0.226868
24,0.214609,0.555974,0.939317
25,0.541412,0.482347,0.476578
26,0.972597,0.618938,0.214609
27,0.203171,0.555751,0.41983
28,0.457584,0.889285,0.555974
29,0.391719,0.131192,0.541412
30,0.671927,0.00497546,0.482347
31,0.445669,0.555559,0.445669
32,0.544823,0.454873,0.544823
33,0.785184,0.951415,0.555559
34,0.847823,0.440387,0.454873
35,0.518943,0.220704,0.785184
36,0.380929,0.965131,0.847823
37,0.792408,0.807109,0.951415
38,0.247266,0.551913,0.440387
39,0.520242,0.610995,0.518943
40,0.636141,0.323713,0.220704
41,0.844897,0.144693,0.844897
42,0.532165,0.467279,0.532165
43,0.152319,0.929629,0.144693
44,0.337642,0.402965,0.467279
45,0.774527,0.965546,0.152319
46,0.0186971,0.50228,0.337642
47,0.348047,0.207798,0.929629
48,0.244043,0.75145,0.402965
49,0.736591,0.480172,0.774527
50,0.881143,0.36814,0.965546
51,0.313804,0.687587,0.313804
52,0.595513,0.402468,0.595513
53,0.652751,0.996965,0.687587
54,0.969384,0.597961,0.402468
55,0.0351942,0.603136,0.652751
56,0.506282,0.37159,0.969384
57,0.0456752,0.652604,0.996965
58,0.781143,0.754323,0.597961
59,0.103915,0.258313,0.0351942
60,0.555974,0.120248,0.603136
61,0.431104,0.569336,0.431104
62,0.656904,0.343443,0.656904
63,0.0295477,0.671927,0.569336
64,0.0486485,0.562364,0.343443
65,0.39646,0.551312,0.0295477
66,0.626125,0.503128,0.0486485
67,0.831527,0.954764,0.671927
68,0.218256,0.220887,0.562364
69,0.579806,0.897195,0.39646
70,0.402965,0.440387,0.551312
71,0.733839,0.266123,0.733839
72,0.203734,0.796279,0.203734
73,0.121325,0.323713,0.266123
74,0.0720815,0.438718,0.796279
75,0.446265,0.814736,0.121325
76,0.495836,0.5737,0.0720815
77,0.686051,0.184071,0.323713
78,0.154651,0.781955,0.438718
79,0.177546,0.406647,0.446265
80,0.562364,0.597961,0.814736
81,0.672109,0.328312,0.672109
82,0.760874,0.969284,0.760874
83,0.641393,0.636141,0.328312
84,0.0790545,0.804899,0.969284
85,0.185389,0.0745514,0.641393
86,0.686099,0.426455,0.0790545
87,0.584684,0.324762,0.636141
88,0.568858,0.846804,0.804899
89,0.416269,0.822304,0.185389
90,0.804899,0.438718,0.0745514
91,0.898296,0.10177,0.898296
92,0.239307,0.0660794,0.239307
93,0.490431,0.36814,0.10177
94,0.00497546,0.193349,0.0660794
95,0.907726,0.491776,0.490431
96,0.682131,0.313923,0.00497546
97,0.793134,0.423408,0.36814
98,0.441864,0.423426,0.193349
99,0.98399,0.584339,0.907726
100,0.536974,0.193349,0.491776
