sex,Rings
M,15
M,7
F,9
M,10
I,7
I,8
F,20
F,16
M,9
F,19
F,14
M,10
M,11
F,10
F,10
M,12
I,7
F,10
M,7
M,9
M,11
I,10
F,12
F,9
F,10
F,11
F,11
M,12
M,15
M,11
M,10
F,15
M,18
F,19
F,13
M,8
F,16
F,8
F,11
M,9
F,9
F,14
I,5
I,5
I,4
I,7
M,9
F,7
I,6
F,9
I,8
M,7
M,10
F,10
M,7
F,8
M,8
M,8
I,4
F,7
M,7
M,9
F,10
M,7
M,8
M,8
F,12
F,13
F,10
I,6
M,13
F,8
F,20
M,11
F,13
F,15
M,9
F,10
F,11
F,14
F,9
M,12
F,16
M,21
M,14
F,12
M,13
M,10
F,9
F,12
M,15
M,12
M,13
F,10
M,15
M,14
M,9
M,8
M,7
F,10
I,7
M,15
M,15
M,10
M,12
F,12
F,11
F,10
F,9
F,9
M,9
M,9
I,9
M,9
F,11
F,11
F,11
M,10
F,9
M,8
F,9
I,7
F,14
M,6
I,6
I,5
I,6
I,8
M,19
M,18
M,17
F,9
F,7
I,7
I,7
F,8
F,7
M,9
F,9
M,9
F,10
F,10
M,16
M,11
M,10
F,10
M,10
I,9
I,5
I,4
M,15
F,9
F,10
F,10
F,12
M,10
F,13
M,16
F,13
F,13
M,13
F,13
M,12
F,18
F,16
M,14
F,20
F,20
M,14
F,12
M,14
F,7
M,8
F,8
I,5
I,7
I,5
I,8
I,4
M,11
M,14
M,21
F,10
F,10
F,12
M,13
F,12
F,10
F,11
F,9
M,13
M,12
M,14
I,8
F,10
M,12
F,11
M,16
M,15
M,10
F,9
M,13
F,12
F,13
M,8
F,9
I,9
I,8
F,13
I,7
F,10
M,7
F,12
M,9
F,14
M,10
M,8
I,7
M,10
F,8
F,9
F,11
F,9
F,11
I,10
F,9
F,7
I,7
F,11
F,15
M,13
M,14
M,22
I,7
I,12
I,9
I,1
I,3
I,3
I,5
M,17
I,5
I,5
I,8
I,8
I,10
I,13
I,9
I,7
I,7
I,7
M,13
F,12
F,15
M,15
M,15
M,19
M,10
F,15
F,13
F,11
F,12
M,11
I,4
M,6
F,11
M,14
M,8
M,9
F,13
F,22
M,16
M,14
M,15
M,13
M,22
F,12
M,18
M,20
F,11
F,15
I,7
F,9
M,14
M,14
F,10
M,10
F,17
M,9
F,10
M,17
F,12
M,15
F,19
M,26
I,6
I,6
I,4
M,11
M,9
F,9
F,13
M,8
M,6
F,10
I,4
I,3
M,13
M,14
M,10
F,21
M,14
M,19
F,23
M,23
I,8
F,14
M,10
F,18
I,6
I,5
I,4
M,11
I,5
M,7
I,7
I,7
M,12
M,8
I,8
M,12
F,8
I,5
I,5
F,16
M,11
M,14
M,16
M,13
F,15
M,14
F,14
M,12
F,12
F,8
M,13
F,9
I,6
I,8
M,14
F,8
F,22
M,12
M,9
M,16
M,20
M,13
F,18
M,17
F,16
M,18
F,12
F,20
F,16
F,12
M,19
M,11
F,10
M,12
F,17
F,16
F,16
F,19
F,14
M,13
F,20
M,11
F,10
M,15
F,12
M,15
M,10
M,10
M,12
M,10
F,9
M,12
M,10
M,14
I,9
I,10
M,10
F,10
I,9
I,6
I,11
F,10
M,8
M,12
M,11
F,9
M,9
F,7
F,10
I,7
F,12
M,8
M,16
M,11
M,8
M,15
M,14
F,11
M,12
F,14
F,15
F,20
M,20
F,16
M,13
F,14
I,11
F,13
I,8
I,6
M,13
F,18
M,19
F,21
F,18
F,18
M,20
M,18
M,22
I,13
M,11
I,7
I,14
M,9
M,13
I,10
I,8
F,19
I,10
F,10
F,9
M,13
M,16
M,12
F,18
M,16
F,16
F,17
F,11
F,14
M,11
F,15
I,9
I,10
F,11
M,11
F,12
I,6
I,5
I,6
I,5
F,12
M,13
F,17
M,21
F,9
F,10
I,9
F,11
F,10
M,17
F,9
M,17
M,21
M,16
F,29
M,17
M,15
F,19
M,12
F,13
M,11
F,15
M,11
F,14
M,14
M,13
F,11
M,15
M,17
F,15
F,12
F,19
F,11
M,10
F,12
F,23
F,15
F,13
F,17
M,15
M,12
M,15
M,11
I,16
I,10
F,10
F,10
M,6
F,5
M,6
M,9
M,5
M,4
F,6
M,3
F,5
I,9
M,5
M,4
M,4
M,3
F,14
F,12
M,9
I,20
F,13
I,12
F,9
I,10
I,11
I,11
M,7
M,5
F,10
F,15
F,11
M,15
M,8
F,10
M,11
M,8
M,7
F,12
I,11
I,17
I,13
I,12
I,13
I,9
I,10
I,14
F,12
F,13
I,13
F,8
I,13
F,11
F,11
F,14
M,10
I,12
I,12
M,7
F,11
I,16
I,14
F,20
F,17
I,10
F,11
I,10
F,10
I,11
F,17
F,11
I,14
F,19
I,13
F,11
I,11
I,10
F,13
M,14
F,13
I,13
F,9
I,18
F,19
M,12
I,13
F,9
I,13
I,12
F,16
I,17
F,10
F,13
I,11
I,12
I,13
M,9
I,10
M,10
M,12
F,12
M,4
M,9
I,18
I,15
M,13
F,12
M,7
M,9
M,7
M,10
I,18
F,12
F,17
I,15
F,12
F,10
F,8
I,21
M,10
I,9
F,7
M,10
I,9
M,9
M,8
M,7
M,6
I,14
F,13
M,7
I,13
F,19
M,7
M,9
I,11
M,6
M,9
I,11
F,9
M,5
I,6
I,11
M,7
F,10
M,7
F,17
F,16
I,18
F,11
I,18
I,11
F,10
F,12
I,19
F,10
M,11
F,15
M,13
F,13
M,14
F,17
F,19
M,21
F,23
F,22
M,12
F,11
F,23
F,8
I,7
M,10
F,7
M,16
M,10
M,15
F,13
F,16
M,11
M,11
M,10
I,5
F,11
M,9
I,4
I,7
I,4
M,5
F,13
F,16
M,12
F,14
F,9
M,12
M,9
M,10
M,11
F,10
M,10
I,7
I,7
M,11
I,7
M,8
M,9
