Sex,Length,Whole weight,Rings
"M",0.455,0.514,15
"M",0.35,0.2255,7
"F",0.53,0.677,9
"M",0.44,0.516,10
"I",0.33,0.205,7
"I",0.425,0.3515,8
"F",0.53,0.7775,20
"F",0.545,0.768,16
"M",0.475,0.5095,9
"F",0.55,0.8945,19
"F",0.525,0.6065,14
"M",0.43,0.406,10
"M",0.49,0.5415,11
"F",0.535,0.6845,10
"F",0.47,0.4755,10
"M",0.5,0.6645,12
"I",0.355,0.2905,7
"F",0.44,0.451,10
"M",0.365,0.2555,7
"M",0.45,0.381,9
"M",0.355,0.2455,11
"I",0.38,0.2255,10
"F",0.565,0.9395,12
"F",0.55,0.7635,9
"F",0.615,1.1615,10
"F",0.56,0.9285,11
"F",0.58,0.9955,11
"M",0.59,0.931,12
"M",0.605,0.9365,15
"M",0.575,0.8635,11
"M",0.58,0.9975,10
"F",0.68,1.639,15
"M",0.665,1.338,18
"F",0.68,1.798,19
"F",0.705,1.7095,13
"M",0.465,0.4795,8
"F",0.54,1.217,16
"F",0.45,0.5225,8
"F",0.575,0.883,11
"M",0.355,0.3275,9
"F",0.45,0.425,9
"F",0.55,0.8515,14
"I",0.24,0.07,5
"I",0.205,0.042,5
"I",0.21,0.042,4
"I",0.39,0.203,7
"M",0.47,0.5795,9
"F",0.46,0.4605,7
"I",0.325,0.161,6
"F",0.525,0.8355,9
"I",0.52,0.595,8
"M",0.4,0.303,7
"M",0.485,0.5415,10
"F",0.47,0.4775,10
"M",0.405,0.385,7
"F",0.5,0.6615,8
"M",0.445,0.4425,8
"M",0.47,0.5895,8
"I",0.245,0.086,4
"F",0.505,0.583,7
"M",0.45,0.4115,7
"M",0.505,0.625,9
"F",0.53,0.6965,10
"M",0.425,0.3785,7
"M",0.52,0.58,8
"M",0.475,0.48,8
"F",0.565,0.915,12
"F",0.595,1.285,13
"F",0.475,0.5305,10
"I",0.31,0.151,6
"M",0.555,0.7665,13
"F",0.4,0.353,8
"F",0.595,1.247,20
"M",0.57,1.185,11
"F",0.605,1.098,13
"F",0.6,1.0075,15
"M",0.595,0.944,9
"F",0.6,0.922,10
"F",0.555,0.788,11
"F",0.615,1.1025,14
"F",0.575,0.941,9
"M",0.62,1.615,12
"F",0.52,0.9885,16
"M",0.595,1.3175,21
"M",0.58,1.013,14
"F",0.57,1.295,12
"M",0.625,1.195,13
"M",0.56,0.8645,10
"F",0.46,0.517,9
"F",0.575,0.9775,12
"M",0.565,0.8115,15
"M",0.555,0.755,12
"M",0.595,1.115,13
"F",0.625,1.262,10
"M",0.695,1.494,15
"M",0.665,1.606,14
"M",0.535,0.725,9
"M",0.47,0.523,8
"M",0.47,0.5225,7
"F",0.475,0.5785,10
"I",0.36,0.2315,7
"M",0.55,0.843,15
"M",0.53,0.883,15
"M",0.53,0.724,10
"M",0.605,1.1735,12
"F",0.52,0.727,12
"F",0.545,0.802,11
"F",0.5,0.6675,10
"F",0.51,0.6335,9
"F",0.435,0.3635,9
"M",0.495,0.5415,9
"M",0.465,0.431,9
"I",0.435,0.3325,9
"M",0.425,0.393,9
"F",0.545,0.6935,11
"F",0.53,0.5915,11
"F",0.49,0.6125,11
"M",0.44,0.402,10
"F",0.56,0.8825,9
"M",0.405,0.2605,8
"F",0.47,0.4205,9
"I",0.385,0.2535,7
"F",0.515,0.766,14
"M",0.37,0.214,6
"I",0.36,0.1755,6
"I",0.27,0.073,5
"I",0.375,0.238,6
"I",0.385,0.2505,8
"M",0.7,1.7255,19
"M",0.71,1.959,18
"M",0.595,1.262,17
"F",0.44,0.4035,9
"F",0.325,0.1915,7
"I",0.35,0.211,7
"I",0.265,0.0975,7
"F",0.425,0.406,8
"F",0.305,0.156,7
"M",0.345,0.2005,9
"F",0.405,0.3555,9
"M",0.375,0.253,9
"F",0.565,0.826,10
"F",0.55,0.741,10
"M",0.65,1.3445,16
"M",0.56,0.797,11
"M",0.475,0.5175,10
"F",0.49,0.549,10
"M",0.46,0.515,10
"I",0.28,0.127,9
"I",0.175,0.0315,5
"I",0.17,0.03,4
"M",0.59,1.053,15
"F",0.605,1.1185,9
"F",0.635,1.3715,10
"F",0.605,1.0565,10
"F",0.565,0.9885,12
"M",0.515,0.722,10
"F",0.575,0.994,13
"M",0.645,1.514,16
"F",0.58,0.9075,13
"F",0.575,1.124,13
"M",0.605,1.056,13
"F",0.605,1.222,13
"M",0.61,1.2445,12
"F",0.725,2.141,18
"F",0.65,1.752,16
"M",0.725,2.55,14
"F",0.725,2.124,20
"F",0.68,1.842,20
"M",0.705,1.981,14
"F",0.68,1.6185,12
"M",0.695,1.9565,14
"F",0.53,0.775,7
"M",0.525,1.065,8
"F",0.52,0.776,8
"I",0.235,0.048,5
"I",0.36,0.1785,7
"I",0.315,0.125,5
"I",0.315,0.1435,8
"I",0.225,0.0465,4
"M",0.58,0.97,11
"M",0.57,0.9395,14
"M",0.64,1.368,21
"F",0.56,1.0235,10
"F",0.62,1.0165,10
"F",0.645,1.5675,12
"M",0.62,1.218,13
"F",0.63,1.0525,12
"F",0.63,1.383,10
"F",0.63,1.199,11
"F",0.585,0.9325,9
"M",0.615,1.1595,13
"M",0.61,1.0225,12
"M",0.58,0.927,14
"I",0.355,0.22,8
"F",0.51,0.8145,10
"M",0.5,0.772,12
"F",0.505,0.644,11
"M",0.64,1.3035,16
"M",0.56,0.922,15
"M",0.585,0.922,10
"F",0.45,0.4165,9
"M",0.5,0.825,13
"F",0.5,0.63,12
"F",0.53,0.8155,13
"M",0.42,0.369,8
"F",0.44,0.482,9
"I",0.4,0.315,9
"I",0.435,0.3795,8
"F",0.525,0.8325,13
"I",0.37,0.2655,7
"F",0.49,0.6345,10
"M",0.335,0.181,7
"F",0.415,0.38,12
"M",0.5,0.6155,9
"F",0.485,0.66,14
"M",0.55,0.8025,10
"M",0.45,0.46,8
"I",0.405,0.324,7
"M",0.47,0.501,10
"F",0.415,0.32,8
"F",0.445,0.455,9
"F",0.47,0.5175,11
"F",0.49,0.5755,9
"F",0.445,0.485,11
"I",0.425,0.3265,10
"F",0.5,0.45,9
"F",0.39,0.3055,7
"I",0.365,0.205,7
"F",0.58,1.1015,11
"F",0.53,0.783,15
"M",0.555,0.836,13
"M",0.565,0.9025,14
"M",0.625,1.4455,22
"I",0.275,0.1155,7
"I",0.44,0.435,12
"I",0.295,0.124,9
"I",0.075,0.002,1
"I",0.13,0.013,3
"I",0.11,0.008,3
"I",0.16,0.021,5
"M",0.565,0.9425,17
"I",0.27,0.1,5
"I",0.23,0.0645,5
"I",0.3,0.1275,8
"I",0.33,0.1655,8
"I",0.35,0.174,10
"I",0.32,0.1585,13
"I",0.36,0.1975,9
"I",0.305,0.156,7
"I",0.345,0.2135,7
"I",0.33,0.1715,7
"M",0.59,1.1235,13
"F",0.595,1.0605,12
"F",0.575,1.094,15
"M",0.6,1.2415,15
"M",0.56,1.011,15
"M",0.56,1.07,19
"M",0.545,0.8975,10
"F",0.635,1.415,15
"F",0.59,1.1015,13
"F",0.54,0.928,11
"F",0.57,0.865,12
"M",0.53,0.8945,11
"I",0.245,0.095,4
"M",0.27,0.1205,6
"F",0.46,0.639,11
"M",0.52,0.895,14
"M",0.35,0.2925,8
"M",0.47,0.6355,9
"F",0.45,0.4995,13
"F",0.64,1.779,22
"M",0.59,1.187,16
"M",0.62,1.219,14
"M",0.63,1.525,15
